menu_id,subtitle,fortune,message,luckyItem,action
burger,빠른 결단 / 빠른 성공,79,스피드가 생명입니다. 오늘 미뤘던 일을 바로 처리하면 큰 성과를 얻을 수 있습니다.,시계 / 스마트폰,오전 중에 중요한 이메일이나 메시지를 확인하세요. 놓치면 안 될 기회가 있습니다.
burger,효율성이 빛나는 하루,83,멀티태스킹 능력이 발휘되는 날입니다. 여러 일을 동시에 처리해도 좋습니다.,플래너 / 이어폰,짧은 미팅 여러 개를 연속으로 잡아도 좋은 성과를 낼 수 있습니다.
burger,순발력이 행운을 부릅니다,87,즉각적인 판단이 필요한 상황에서 탁월한 선택을 하게 될 것입니다.,디지털 기기 / 에너지바,갑작스러운 제안이 들어와도 두려워하지 말고 받아들이세요.
sushi,고급스러운 선택,90,품격 있는 행동이 높은 평가를 받게 됩니다. 자신의 가치를 믿으세요.,진주 액세서리 / 녹차,중요한 사람과의 미팅이나 식사 약속을 잡으세요.
sushi,세련된 안목,87,당신의 취향과 판단력이 빛을 발하는 날입니다.,실버 소품 / 생수,예술 관련 활동이나 문화 생활을 즐기면 영감을 얻을 수 있습니다.
sushi,정제된 에너지,93,절제된 표현 속에 강한 카리스마가 느껴지는 하루입니다.,미니멀 디자인 제품 / 차,간결하고 핵심적인 프레젠테이션으로 상대를 사로잡으세요.
pasta,낭만적 기운,84,창의력이 샘솟는 하루입니다. 예술적 감각을 발휘해보세요.,향수 / 와인,업무 중 창의적인 아이디어가 떠오르면 바로 메모하세요.
pasta,감성이 빛나는 날,81,사람들과의 감성적 교류가 행운을 가져옵니다.,꽃 / 음악,동료들과 점심 후 가벼운 산책이나 문화생활을 즐겨보세요.
pasta,우아한 하루,86,여유로운 마음가짐이 더 좋은 결과를 만듭니다.,스카프 / 허브티,서두르지 말고 천천히 / 하지만 확실하게 일을 처리하세요.
gimbap,알찬 하루,75,작지만 확실한 성과들이 모여 큰 결실을 이룹니다.,수첩 / 보온병,작은 목표들을 하나씩 체크해가며 성취감을 느껴보세요.
gimbap,꽉 찬 행운,77,다양한 경험과 만남이 당신을 성장시킵니다.,다이어리 / 과일,평소와 다른 루트로 출퇴근하거나 새로운 장소를 방문해보세요.
gimbap,실속있는 선택,80,효율적인 시간 관리로 여러 일을 동시에 해낼 수 있습니다.,타이머 / 견과류,우선순위를 정하고 중요한 일부터 처리하세요.
